,Sex,Age,SibSp,Parch,Fare,has_cabin?,2,3,Q,S
114,1,17.0,0,0,14.4583,0,0,1,0,0
874,1,28.0,1,0,24.0,0,1,0,0,0
76,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
876,0,20.0,0,0,9.8458,0,0,1,0,1
674,0,29.69911764705882,0,0,0.0,0,1,0,0,1
132,1,47.0,1,0,14.5,0,0,1,0,1
605,0,36.0,1,0,15.55,0,0,1,0,1
791,0,16.0,0,0,26.0,0,1,0,0,1
58,1,5.0,1,2,27.75,0,1,0,0,1
246,1,25.0,0,0,7.775,0,0,1,0,1
558,1,39.0,1,1,79.65,1,0,0,0,1
775,0,18.0,0,0,7.75,0,0,1,0,1
40,1,40.0,1,0,9.475,0,0,1,0,1
89,0,24.0,0,0,8.05,0,0,1,0,1
677,1,18.0,0,0,9.8417,0,0,1,0,1
372,0,19.0,0,0,8.05,0,0,1,0,1
68,1,17.0,4,2,7.925,0,0,1,0,1
286,0,30.0,0,0,9.5,0,0,1,0,1
139,0,24.0,0,0,79.2,1,0,0,0,0
522,0,29.69911764705882,0,0,7.225,0,0,1,0,0
118,0,24.0,0,1,247.5208,1,0,0,0,0
528,0,39.0,0,0,7.925,0,0,1,0,1
824,0,2.0,4,1,39.6875,0,0,1,0,1
408,0,21.0,0,0,7.775,0,0,1,0,1
678,1,43.0,1,6,46.9,0,0,1,0,1
688,0,18.0,0,0,7.7958,0,0,1,0,1
832,0,29.69911764705882,0,0,7.2292,0,0,1,0,0
496,1,54.0,1,0,78.2667,1,0,0,0,0
14,1,14.0,0,0,7.8542,0,0,1,0,1
82,1,29.69911764705882,0,0,7.7875,0,0,1,1,0
657,1,32.0,1,1,15.5,0,0,1,1,0
388,0,29.69911764705882,0,0,7.7292,0,0,1,1,0
88,1,23.0,3,2,263.0,1,0,0,0,1
273,0,37.0,0,1,29.7,1,0,0,0,0
172,1,1.0,1,1,11.1333,0,0,1,0,1
474,1,22.0,0,0,9.8375,0,0,1,0,1
103,0,33.0,0,0,8.6542,0,0,1,0,1
818,0,43.0,0,0,6.45,0,0,1,0,1
750,1,4.0,1,1,23.0,0,1,0,0,1
45,0,29.69911764705882,0,0,8.05,0,0,1,0,1
341,1,24.0,3,2,263.0,1,0,0,0,1
788,0,1.0,1,2,20.575,0,0,1,0,1
538,0,29.69911764705882,0,0,14.5,0,0,1,0,1
639,0,29.69911764705882,1,0,16.1,0,0,1,0,1
11,1,58.0,0,0,26.55,1,0,0,0,1
214,0,29.69911764705882,1,0,7.75,0,0,1,1,0
635,1,28.0,0,0,13.0,0,1,0,0,1
147,1,9.0,2,2,34.375,0,0,1,0,1
299,1,50.0,0,1,247.5208,1,0,0,0,0
494,0,21.0,0,0,8.05,0,0,1,0,1
690,0,31.0,1,0,57.0,1,0,0,0,1
392,0,28.0,2,0,7.925,0,0,1,0,1
704,0,26.0,1,0,7.8542,0,0,1,0,1
652,0,21.0,0,0,8.4333,0,0,1,0,1
683,0,14.0,5,2,46.9,0,0,1,0,1
173,0,21.0,0,0,7.925,0,0,1,0,1
429,0,32.0,0,0,8.05,1,0,1,0,1
226,0,19.0,0,0,10.5,0,1,0,0,1
305,0,0.92,1,2,151.55,1,0,0,0,1
31,1,29.69911764705882,1,0,146.5208,1,0,0,0,0
709,0,29.69911764705882,1,1,15.2458,0,0,1,0,0
549,0,8.0,1,1,36.75,0,1,0,0,1
530,1,2.0,1,1,26.0,0,1,0,0,1
285,0,33.0,0,0,8.6625,0,0,1,0,0
480,0,9.0,5,2,46.9,0,0,1,0,1
816,1,23.0,0,0,7.925,0,0,1,0,1
116,0,70.5,0,0,7.75,0,0,1,1,0
344,0,36.0,0,0,13.0,0,1,0,0,1
95,0,29.69911764705882,0,0,8.05,0,0,1,0,1
581,1,39.0,1,1,110.8833,1,0,0,0,0
527,0,29.69911764705882,0,0,221.7792,1,0,0,0,1
375,1,29.69911764705882,1,0,82.1708,0,0,0,0,0
632,0,32.0,0,0,30.5,1,0,0,0,0
844,0,17.0,0,0,8.6625,0,0,1,0,1
553,0,22.0,0,0,7.225,0,0,1,0,0
62,0,45.0,1,0,83.475,1,0,0,0,1
204,0,18.0,0,0,8.05,0,0,1,0,1
664,0,20.0,1,0,7.925,0,0,1,0,1
184,1,4.0,0,2,22.025,0,0,1,0,1
91,0,20.0,0,0,7.8542,0,0,1,0,1
842,1,30.0,0,0,31.0,0,0,0,0,0
624,0,21.0,0,0,16.1,0,0,1,0,1
346,1,40.0,0,0,13.0,0,1,0,0,1
721,0,17.0,1,0,7.0542,0,0,1,0,1
29,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
54,0,65.0,0,1,61.9792,1,0,0,0,0
366,1,60.0,1,0,75.25,1,0,0,0,0
831,0,0.83,1,1,18.75,0,1,0,0,1
481,0,29.69911764705882,0,0,0.0,0,1,0,0,1
146,0,27.0,0,0,7.7958,0,0,1,0,1
